Item,Link,Category,Required?,Notes
Muslin cloths,https://www.amazon.ca/dp/B09XJH99C3/?coliid=IJUV3ECKYO7DS&colid=1ESZ9VSCH97Q3&ref_=list_c_wl_lv_vv_lig_dp_it&th=1,Hygiene,Yes,You need a million. 
Diaper Caddy,,Hygiene,Nice to have,Not a must have.. we didn't use ours too much (just set up a station on the main floor so we didn't have to go upstairs every time
Baby wipes ,,Hygiene,Yes,Huggies or Costco were out pref. Costco is best bang for buck.
Baby thermometer,,Medical,Yes,"Do be like me and get the touchless because it ""doesn't wake baby, can do it while sleeping."" -- Doctor prefers the armpit one because it's more reliable and it's cheaper. I agree. "
First aid kit,,Medical,Nice to have,"Ddrops, tylenol, Frida baby windy (get it - when you need it you will so happy you have it)"
Baby CPR course,Sinai,Medical,Nice to have,Recommend only doing this closer to when they start solids (4 months) so it's fresh in your mind !
Nose Cleaner,https://www.westcoastkids.ca/nosefrida-nasal-aspirators,Medical,Yes,Friday Baby. Very useful. Have yet to use their snot sucker though.
Crib,,Nursery,Yes,
Crib mattress,,Nursery,Yes,Breathable. Newton was recommended but i think they are all fine (using ikea one too)
Crib sheets,,Nursery,Yes,Need more than 1 in case of night time accidents -- they can have leaks / blowouts even at a young age. 
Crib waterproof cover,https://a.co/d/ieJkqai,Nursery,Nice to have,Newton waterproof mattress cover
Glidder chair,,Nursery,Yes,Was recommended motorized to avoid waking baby and bc it's easier on your body.... However - I have alsmot never reclined in it... i just rock her in it and you can't rock when it's reclined. I don't sleep in the chair so I would say you dont need to spend up for motorized. 
Diaper disposal / genie,,Nursery,Nice to have,Diaper Genie bc it's the best at retaining odours and has a foot pump. Also taller (no bending down like the ubbi). I find the ubbi hard to open. 
Bassinet,,Nursery,Yes,Only need for a few months. Borrowing instead of buying 
Baby monitor ,https://www.amazon.ca/dp/B0BVCMR75K?psc=1&smid=A1CL2WH2YUATSD&ref_=chk_typ_imgToDp,Nursery,Yes,"Nanit - Prime day deal. Get with travel stand  - easier to move around the house or bring to others places. Also cheaper than the wall mount and heavy stand, you just need a shelf near the crib for it. "
White noise machine / night light,https://www.amazon.ca/dp/B08YS6S66Z?psc=1&tag=baby0579-20&th=1,Nursery,Yes,Hatch rest+. Love this. And it's portable in the room so you don't have to turn on lights to change or feed. 
Dresser,,Nursery,Yes,
Change table top,https://www.westcoastkids.ca/keekaroo-peanut-changer,Nursery,Yes,Peanut Changer. So easy to clean
Hamper,,Nursery,Nice to have,
Rug,,Nursery,Nice to have,
Black out curtains,,Nursery,Nice to have,We didn't need these until like 3 months old. Then we reallyyy needed them to help her connect sleep cycles!!
